,id,name,artist,lien,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4863,0A3ePIlqgEXdXmHjEW2ztV,Fight for All the Wrong Reasons,Nickelback,https://open.spotify.com/track/0A3ePIlqgEXdXmHjEW2ztV,0.455,0.922,10,-4.499,0.0401,4.42e-05,0.000663,0.067,0.748,169.819
4864,3rjM7GhxdVq1YySsHBs21i,Animals,Nickelback,https://open.spotify.com/track/3rjM7GhxdVq1YySsHBs21i,0.572,0.961,7,-3.089,0.0625,0.000734,0.021,0.207,0.818,76.998
4865,4MtDnnAJ1AtWit10FRmZdW,Don't Phunk With My Heart,Black Eyed Peas,https://open.spotify.com/track/4MtDnnAJ1AtWit10FRmZdW,0.689,0.929,5,-2.76,0.0608,0.00933,0.0,0.548,0.609,130.899
4866,3G7XYAwtxtoGK7fAm4IlD9,Classic Man (feat. Roman GianArthur),Jidenna,https://open.spotify.com/track/3G7XYAwtxtoGK7fAm4IlD9,0.79,0.585,8,-6.058,0.0348,0.185,0.0,0.292,0.585,94.072
4867,6LtidZ09rh1n991F8qYPui,What Goes Around...Comes Around - Radio Edit,Justin Timberlake,https://open.spotify.com/track/6LtidZ09rh1n991F8qYPui,0.717,0.7,7,-5.155,0.0624,0.153,0.000462,0.141,0.499,75.979
4868,407vJkfEQMGDu1MVCWNnMX,I'm Not Over,Carolina Liar,https://open.spotify.com/track/407vJkfEQMGDu1MVCWNnMX,0.533,0.903,11,-2.984,0.0797,0.000742,0.0777,0.0641,0.476,130.989
4869,1wva1IlWLDNLgwipUWcmjy,Sensual Seduction,Snoop Dogg,https://open.spotify.com/track/1wva1IlWLDNLgwipUWcmjy,0.756,0.829,11,-3.973,0.0682,0.003,3.46e-05,0.0578,0.504,120.163
4870,0A4PZuepTcIQVvA5m7R0M1,Don't You (Forget About Me) - Remastered,Simple Minds,https://open.spotify.com/track/0A4PZuepTcIQVvA5m7R0M1,0.602,0.784,11,-7.976,0.0313,0.00398,0.0852,0.0931,0.918,133.019
4871,7mQertZHtd37UQ2uJs0Uct,Where It's At,Beck,https://open.spotify.com/track/7mQertZHtd37UQ2uJs0Uct,0.673,0.662,2,-7.384,0.0732,0.24,0.0289,0.126,0.522,96.948
4872,0uyZ5ckiIUbFZd3P6RWmrj,Hide Away,Daya,https://open.spotify.com/track/0uyZ5ckiIUbFZd3P6RWmrj,0.885,0.8,11,-4.714,0.0846,0.23,1.99e-06,0.0734,0.464,95.018
4873,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Alessia Cara,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,0.573,0.739,0,-5.74,0.129,0.0285,0.0,0.111,0.451,97.085
4874,3lhY1hhcUFax8vPoWXR3oD,I Was Starving Till I Tasted You,Another One Back,https://open.spotify.com/track/3lhY1hhcUFax8vPoWXR3oD,0.563,0.663,1,-7.8,0.0337,0.043,0.0,0.121,0.703,200.015
4875,5jSz894ljfWE0IcHBSM39i,Raspberry Beret,Prince,https://open.spotify.com/track/5jSz894ljfWE0IcHBSM39i,0.761,0.67,2,-12.759,0.0438,0.21,0.000426,0.0685,0.91,120.752
4876,2rmq49FcJ4U3wh1Z7C9UxE,IV. Sweatpants,Childish Gambino,https://open.spotify.com/track/2rmq49FcJ4U3wh1Z7C9UxE,0.644,0.479,4,-8.352,0.177,0.169,0.0,0.639,0.612,79.929
4877,1HNE2PX70ztbEl6MLxrpNL,In Too Deep,Sum 41,https://open.spotify.com/track/1HNE2PX70ztbEl6MLxrpNL,0.568,0.844,9,-5.875,0.0505,0.000189,0.0,0.0607,0.766,116.046
4878,3Ui2jdyxbZQrZohfM0NOgG,Tattoo,Jordin Sparks,https://open.spotify.com/track/3Ui2jdyxbZQrZohfM0NOgG,0.566,0.766,2,-5.036,0.0399,0.431,0.0,0.101,0.547,168.005
4879,5ZQhX6lpd8JsUN1bCfPBUE,Cold Comfort,scntfc,https://open.spotify.com/track/5ZQhX6lpd8JsUN1bCfPBUE,0.502,0.154,5,-17.115,0.0363,0.979,0.458,0.5,0.208,139.882
4880,1h24r3uHcXqqSntThwu1Q9,Argonaut,scntfc,https://open.spotify.com/track/1h24r3uHcXqqSntThwu1Q9,0.514,0.327,2,-13.588,0.0276,0.604,0.915,0.187,0.11,98.234
4881,1Qg27064zgcyaB78AgwZ4i,The Worst Pies in London,Helena Bonham Carter,https://open.spotify.com/track/1Qg27064zgcyaB78AgwZ4i,0.544,0.325,0,-11.045,0.0823,0.945,8.93e-06,0.0592,0.638,94.101
4882,3U5A5pz3EsEs2XlwDhtWnP,Johanna,Jamie Campbell Bower,https://open.spotify.com/track/3U5A5pz3EsEs2XlwDhtWnP,0.412,0.227,8,-12.845,0.042,0.834,0.00016,0.0942,0.269,149.173
4883,0y5V4rtQW7AnfBemF9HXH8,By the Sea,Johnny Depp,https://open.spotify.com/track/0y5V4rtQW7AnfBemF9HXH8,0.624,0.212,9,-12.368,0.0612,0.935,0.0,0.27,0.638,80.766
4884,4X4ZHPOgp5DLh3tYZD5YYU,Pretty Women,Johnny Depp,https://open.spotify.com/track/4X4ZHPOgp5DLh3tYZD5YYU,0.292,0.198,2,-14.947,0.0456,0.886,0.0101,0.759,0.307,81.268
4885,2JAf4C2jcUAGixxywJEUvm,Walkin' On The Sun,Smash Mouth,https://open.spotify.com/track/2JAf4C2jcUAGixxywJEUvm,0.734,0.977,6,-4.756,0.0319,0.498,0.0,0.155,0.967,123.284
4886,5sYgsJJpbyfKCm8s4cRrWE,Lonely Rolling Star,GameChops,https://open.spotify.com/track/5sYgsJJpbyfKCm8s4cRrWE,0.549,0.68,8,-4.545,0.0375,0.0236,0.00459,0.113,0.339,169.96
4887,3SCwQM78OCR54xEL3JAmKk,Fall Behind Me,The Donnas,https://open.spotify.com/track/3SCwQM78OCR54xEL3JAmKk,0.438,0.966,0,-2.002,0.0593,2.84e-05,0.000274,0.746,0.477,145.819
4888,00rGtsA6s1ymgW70p1LzlM,What I Didn't Know,Athenaeum,https://open.spotify.com/track/00rGtsA6s1ymgW70p1LzlM,0.539,0.93,11,-6.035,0.0624,0.0138,0.0,0.0673,0.584,127.454
4889,2OcJNw7K8cYs4FKoh8aEow,Coin-Operated Boy,The Dresden Dolls,https://open.spotify.com/track/2OcJNw7K8cYs4FKoh8aEow,0.631,0.455,7,-8.541,0.151,0.653,6.48e-05,0.048,0.543,134.772
4890,2H7PHVdQ3mXqEHXcvclTB0,1999,Prince,https://open.spotify.com/track/2H7PHVdQ3mXqEHXcvclTB0,0.866,0.73,5,-8.201,0.0767,0.137,0.0,0.0843,0.625,118.523
